ccode,pcode,km
ARG,KOR,19473
ARG,KWT,13204
ARG,LAO,17368
ARG,LBN,12342
ARG,LBR,6760
ARG,LBY,10697
ARG,LCA,5399
ARG,LKA,14782
ARG,LTU,12706
ARG,LUX,11287
ARG,LVA,12749
ARG,MAC,19499
ARG,MAR,9237
ARG,MDA,12571
ARG,MDG,10222
ARG,MDV,14027
ARG,MEX,7375
ARG,MKD,11710
ARG,MLI,7464
ARG,MLT,10880
ARG,MMR,16808
ARG,MNG,18107
ARG,MOZ,8508
ARG,MRT,7373
ARG,MUS,10926
ARG,MWI,9337
ARG,MYS,15977
ARG,NAM,7345
ARG,NCL,12180
ARG,NER,8300
ARG,NGA,7888
ARG,NIC,5956
ARG,NLD,11412
ARG,NOR,12208
ARG,NPL,16495
ARG,NZL,10050
ARG,OMN,13851
ARG,PAK,14697
ARG,PAN,5274
ARG,PER,3129
ARG,PHL,17816
ARG,PNG,14494
ARG,POL,12321
ARG,PRK,19437
ARG,PRT,9572
ARG,PRY,1034
ARG,PYF,9039
ARG,QAT,13325
ARG,ROM,12214
ARG,RUS,13455
ARG,RWA,9752
ARG,SAU,12825
ARG,SDN,11037
ARG,SEN,6955
ARG,SER,11834
ARG,SGP,15893
ARG,SLB,13534
ARG,SLE,6724
ARG,SLV,6277
ARG,SOM,11392
ARG,SUR,4459
ARG,SVK,11851
ARG,SVN,11555
ARG,SWE,12551
ARG,SWZ,8363
ARG,SYC,11875
ARG,SYR,12404
ARG,TCD,9305
ARG,TGO,7700
ARG,THA,16871
ARG,TJK,15372
ARG,TKM,14365
ARG,TON,11951
ARG,TTO,4998
ARG,TUN,10614
ARG,TUR,12434
ARG,TWN,19008
ARG,TZA,10297
ARG,UGA,10097
ARG,UKR,12777
ARG,URY,203
ARG,USA,8390
ARG,UZB,15448
ARG,VEN,5061
ARG,VNM,17871
ARG,VUT,12429
ARG,YDR,12104
ARG,YEM,12104
ARG,YUG,11834
